2020-06-25 17:03:03.128828 ptpd2[21144].startup (notice)    (___) PTPDv2 started successfully on eno1 using "slaveonly" preset (PID 21144)
2020-06-25 17:03:03.128853 ptpd2[21144].startup (info)      (___) TimingService.PTP0: PTP service init
2020-06-25 17:03:03.129176 ptpd2[21144].eno1 (info)      (init) Observed_drift loaded from kernel: 11823 ppb
2020-06-25 17:03:03.229353 ptpd2[21144].eno1 (notice)    (lstn_init) Now in state: PTP_LISTENING
2020-06-25 17:03:03.678241 ptpd2[21144].eno1 (info)      (lstn_init) New best master selected: 503eaafffe092696(unknown)/1
2020-06-25 17:03:03.678275 ptpd2[21144].eno1 (notice)    (slv) Now in state: PTP_SLAVE, Best master: 503eaafffe092696(unknown)/1 (IPv4:172.16.1.49)
2020-06-25 17:03:04.678061 ptpd2[21144].eno1 (notice)    (slv) Received first Sync from Master
2020-06-25 17:03:05.678242 ptpd2[21144].eno1 (notice)    (slv) Received first Delay Response from Master
2020-06-25 17:03:13.128927 ptpd2[21144].eno1 (notice)    (slv) TimingService.PTP0: elected best TimingService
2020-06-25 17:03:13.128976 ptpd2[21144].eno1 (info)      (slv) TimingService.PTP0: acquired clock control
2020-06-25 17:03:41.995241 ptpd2[21144].eno1 (info)      (slv) TimingService: Timing domain shutting down
2020-06-25 17:03:41.995279 ptpd2[21144].eno1 (info)      (slv) TimingService.PTP0: PTP service shutdown
2020-06-25 17:06:55.517399 ptpd2[21305].startup (notice)    (___) PTPDv2 started successfully on eno1 using "slaveonly" preset (PID 21305)
2020-06-25 17:06:55.517441 ptpd2[21305].startup (info)      (___) TimingService.PTP0: PTP service init
2020-06-25 17:06:55.517900 ptpd2[21305].eno1 (info)      (init) Observed_drift loaded from kernel: 21273 ppb
2020-06-25 17:06:55.618102 ptpd2[21305].eno1 (notice)    (lstn_init) Now in state: PTP_LISTENING
2020-06-25 17:06:55.678018 ptpd2[21305].eno1 (info)      (lstn_init) New best master selected: 503eaafffe092696(unknown)/1
2020-06-25 17:06:55.678073 ptpd2[21305].eno1 (notice)    (slv) Now in state: PTP_SLAVE, Best master: 503eaafffe092696(unknown)/1 (IPv4:172.16.1.49)
2020-06-25 17:06:56.677594 ptpd2[21305].eno1 (notice)    (slv) Received first Sync from Master
2020-06-25 17:06:57.677790 ptpd2[21305].eno1 (notice)    (slv) Received first Delay Response from Master
2020-06-25 17:07:05.517485 ptpd2[21305].eno1 (notice)    (slv) TimingService.PTP0: elected best TimingService
2020-06-25 17:07:05.517512 ptpd2[21305].eno1 (info)      (slv) TimingService.PTP0: acquired clock control
2020-06-25 17:10:09.748566 ptpd2[21305].eno1 (info)      (slv) TimingService: Timing domain shutting down
2020-06-25 17:10:09.748656 ptpd2[21305].eno1 (info)      (slv) TimingService.PTP0: PTP service shutdown
# Timestamp, State, Clock ID, One Way Delay, Offset From Master, Slave to Master, Master to Slave, Observed Drift, Last packet Received, One Way Delay Mean, One Way Delay Std Dev, Offset From Master Mean, Offset From Master Std Dev, Observed Drift Mean, Observed Drift Std Dev, raw delayMS, raw delaySM
2020-06-25 17:10:33.839402, init, 
2020-06-25 17:10:33.940129, lstn_init,  1 
2020-06-25 17:10:57.677748, slv, 503eaafffe092696(unknown)/1,  0.000059493, -0.000020325,  0.000098837,  0.000033439, 21805.975573242, S, 0.000000000, 0, 0.000000000, 0, 0, 0,  0.000033439,  0.000098837
2020-06-25 17:10:57.891391, slv, 503eaafffe092696(unknown)/1,  0.000059986, -0.000020325,  0.000099391,  0.000033439, 21785.650573242, D, 0.000000000, 0, 0.000000000, 0, 0, 0,  0.000033439,  0.000099391
2020-06-25 17:10:58.677739, slv, 503eaafffe092696(unknown)/1,  0.000059986, -0.000027344,  0.000099391,  0.000031352, 21785.650573242, S, 0.000000000, 0, 0.000000000, 0, 0, 0,  0.000031352,  0.000099391
2020-06-25 17:10:59.677751, slv, 503eaafffe092696(unknown)/1,  0.000059986, -0.000031791,  0.000099391,  0.000025038, 21758.306573242, S, 0.000000000, 0, 0.000000000, 0, 0, 0,  0.000025038,  0.000099391
2020-06-25 17:10:59.767993, slv, 503eaafffe092696(unknown)/1,  0.000060168, -0.000031791,  0.000096639,  0.000025038, 21726.515573242, D, 0.000000000, 0, 0.000000000, 0, 0, 0,  0.000025038,  0.000096639
2020-06-25 17:11:00.677730, slv, 503eaafffe092696(unknown)/1,  0.000060168, -0.000041928,  0.000096639,  0.000011259, 21726.515573242, S, 0.000000000, 0, 0.000000000, 0, 0, 0,  0.000011259,  0.000096639
2020-06-25 17:11:01.187007, slv, 503eaafffe092696(unknown)/1,  0.000060035, -0.000041928,  0.000096598,  0.000011259, 21684.587573242, D, 0.000000000, 0, 0.000000000, 0, 0, 0,  0.000011259,  0.000096598
2020-06-25 17:11:01.374370, slv, 503eaafffe092696(unknown)/1,  0.000059727, -0.000041928,  0.000093957,  0.000011259, 21684.587573242, D, 0.000000000, 0, 0.000000000, 0, 0, 0,  0.000011259,  0.000093957
2020-06-25 17:11:01.587198, dsbl, 
# Timestamp, State, Clock ID, One Way Delay, Offset From Master, Slave to Master, Master to Slave, Observed Drift, Last packet Received, One Way Delay Mean, One Way Delay Std Dev, Offset From Master Mean, Offset From Master Std Dev, Observed Drift Mean, Observed Drift Std Dev, raw delayMS, raw delaySM
2020-06-25 17:11:52.535067, init, 
2020-06-25 17:11:52.635619, lstn_init,  1 
2020-06-25 17:11:53.678081, slv, 503eaafffe092696(unknown)/1,  0.000000000,  0.000000000,  0.000000000,  0.000000000, 17491.790771484, I, 0.000000000, 0, 0.000000000, 0, 0, 0,  0.000000000,  0.000000000
2020-06-25 17:11:54.677912, slv, 503eaafffe092696(unknown)/1,  0.000000000,  0.000087655,  0.000000000,  0.000175311, 17491.790771484, S, 0.000000000, 0, 0.000000000, 0, 0, 0,  0.000175311,  0.000000000
2020-06-25 17:11:55.677856, slv, 503eaafffe092696(unknown)/1,  0.000000000,  0.000155745,  0.000000000,  0.000136180, 17491.790771484, S, 0.000000000, 0, 0.000000000, 0, 0, 0,  0.000136180,  0.000000000
2020-06-25 17:11:55.678057, slv, 503eaafffe092696(unknown)/1,  0.000024792,  0.000155745, -0.000037014,  0.000136180, 17647.535771484, D, 0.000000000, 0, 0.000000000, 0, 0, 0,  0.000136180, -0.000037014
